"1839244358","1368907501","1351443194","833923478","4034471458","10411246","600404636","2241576563","1673407962","2345722868"
100,100,99,99,100,100,100,100,100,99
100,100,99,99,100,100,100,100,100,99
100,100,99,99,100,100,100,100,100,99
100,100,99,99,100,100,100,100,100,99
100,100,99,99,100,100,100,100,100,99
100,100,99,99,100,100,100,100,100,99
100,100,99,99,100,100,100,100,100,99
110,101,100,101,102,100,103,104,101,102
118,106,114,119,111,112,109,110,110,120
153,154,132,147,128,150,132,124,131,151
183,185,153,173,158,182,170,157,168,178
225,203,189,211,209,213,217,194,210,215
260,249,217,250,251,254,245,219,254,264
286,278,256,296,272,290,278,253,300,298
305,290,267,314,284,308,298,270,311,313
326,302,276,327,290,319,313,276,317,325
337,314,294,345,303,321,321,293,321,341
352,329,308,351,312,337,332,301,329,355
369,357,323,370,330,366,361,318,344,375
395,399,346,382,358,387,393,335,372,395
423,445,372,421,394,431,432,361,410,425
472,484,409,458,426,462,466,385,443,471
511,512,454,507,445,492,502,418,495,512
578,571,513,573,508,556,576,472,560,559
640,633,557,657,564,621,635,537,604,635
705,679,605,709,608,658,681,584,663,687
755,739,653,762,657,688,735,613,725,756
791,786,708,798,703,734,776,655,761,806
833,815,729,821,740,777,808,688,790,840
864,859,758,867,771,816,842,700,813,880
934,924,810,921,816,882,909,748,881,936
999,997,863,989,867,952,996,793,949,1002
1081,1079,933,1068,940,1022,1084,861,1018,1090
1160,1153,1037,1166,996,1111,1174,923,1094,1177
1263,1240,1133,1282,1085,1201,1248,1014,1183,1257
1358,1314,1188,1343,1138,1260,1300,1086,1239,1322
1435,1360,1242,1401,1189,1326,1369,1146,1305,1420
1547,1448,1322,1498,1292,1424,1472,1235,1391,1524
1628,1543,1391,1596,1388,1512,1578,1315,1491,1607
1710,1626,1463,1694,1480,1610,1695,1400,1587,1703
1818,1713,1555,1808,1594,1698,1810,1472,1691,1804
1920,1790,1682,1905,1712,1800,1911,1565,1781,1928
1995,1871,1767,1990,1776,1882,1994,1618,1851,2015
2074,1956,1871,2062,1828,1978,2090,1689,1928,2114
2223,2095,1992,2209,1926,2097,2200,1812,2041,2243
2352,2212,2109,2337,2046,2234,2308,1939,2200,2370
2483,2353,2226,2455,2179,2394,2452,2062,2328,2529
2630,2486,2345,2618,2290,2522,2621,2175,2457,2678
2787,2621,2486,2767,2446,2648,2771,2308,2594,2833
2894,2684,2584,2864,2553,2748,2879,2390,2710,2922
3001,2776,2695,2979,2653,2846,3004,2490,2800,3047
